,apca_1,apca_2,apca_3,apca_4,apca_5,apca_6,apca_7,apca_8,apca_9,apca_10,apca_11,apca_12,apca_13,apca_14,apca_15,apca_16,apca_17,apca_18,apca_19,apca_20,apca_21,apca_22,apca_23,apca_24
23_ADT,2.970527766,0.148779878,-0.601325865,-0.221903944,1.972163225,0.764563988,-0.735154668,-0.260765259,-0.237445117,0.359048744,-0.24139116,0.004463639,0.192697673,0.422132346,0.60201028,-0.401753953,0.155934381,0.442057136,-0.160465801,0.317165546,0.151570279,0.042158012,0.056394746,0.073449289
28_ADT,-2.081385069,0.499948623,0.777482324,-0.189977246,0.972520363,0.498011618,0.898281759,0.875728496,0.63858887,1.072864909,0.784348763,-1.03155829,0.172769746,-0.828797807,0.161445078,0.032738172,0.286177881,-0.151212785,0.756977082,0.443936512,-0.152356005,-0.260929744,0.17020529,-0.159282911
30_ADT,-0.641911841,-1.103673457,-0.042672945,0.651018251,0.159008217,-1.620079332,-2.020566235,-0.396241976,0.789479413,-1.0843275,0.443719354,-0.415075141,0.17651364,0.324418508,-1.004192196,0.210852268,-0.467278392,-0.031586818,0.535067323,0.33260479,-0.454117142,-0.594314278,0.037947572,-0.016643634
32_ADT,3.699882333,2.504457392,-0.948152711,2.136168283,-0.571899419,0.303239798,0.722577706,0.399765832,-2.176901986,-0.494627453,0.015673263,-0.05061593,-0.465023297,-1.105373548,-0.321588604,1.541453662,0.238405641,0.242030713,0.002874393,0.44092214,0.529684973,0.202916815,-0.007728807,-0.03078522
40_ADT,-2.887146434,0.104601009,0.42706844,-0.431886569,1.835633895,-0.650627733,1.255456685,1.220963068,0.66639245,0.891085993,0.332086896,-0.56608388,-0.114560749,-0.213011458,0.808322082,0.676001583,0.183218002,-0.097148022,0.116159839,0.347387018,0.161119599,-0.470235516,0.276086562,0.027700765
43_ADT,3.877862442,1.981204888,-0.980340608,3.701644914,-1.285670153,-0.226540225,1.486763034,0.137036104,-1.824786345,-0.427131659,1.041776409,-0.729399884,-1.056423092,0.615278778,-0.174926053,0.176101555,0.120110312,-1.29467008,-0.151976999,-0.283191786,0.124989741,-0.549046901,0.108923123,0.227424145
57_ADT,-3.509812358,2.283462138,-0.45523863,-0.497349629,-0.780703051,0.014716925,-0.414550553,-0.883634983,0.203116304,0.057084796,-0.409725279,-0.339916311,0.135349915,0.427467409,-0.47198227,0.257431426,0.384943854,0.002818552,-0.308600101,-0.156200972,-0.082646822,-0.16078929,-0.002464632,-0.096146016
61_ADT,2.596026487,0.054333417,-0.968061268,0.27448804,1.517628009,0.65745119,-0.183756823,-0.416267405,-0.809240318,-0.520756811,0.334756325,-0.591057629,-0.535764325,0.352998087,0.015197608,0.61001833,0.271764193,0.495725907,-0.057586642,0.277191091,-0.154442343,0.013794033,-0.090062854,0.168687705
63_ADT,1.228580444,-1.226811392,0.918900681,-1.426703013,-0.61619342,-0.338261745,-0.28742871,0.295001554,0.058603492,-0.19917442,0.680805861,0.289296814,0.313589207,0.26390601,-0.538396208,-0.393405166,-0.021171329,0.566043602,0.337608518,0.287641277,-0.093944411,0.03084494,0.151608169,0.297519388
67_ADT,3.105132445,0.194608207,-0.88301779,0.166582798,1.189579283,0.28344037,-0.461204624,-0.262988446,0.217372864,-0.936110295,0.076768611,-0.018206378,-0.323689263,-0.150334345,0.144645226,0.540723868,0.387957672,0.094685721,0.3735143,-0.266203214,-0.80182896,-0.113182763,0.12873667,0.013477619
