,0,1,2,3,4,5,6,7
227_ATAC,0.0664,0.3232,-0.2204,0.2825,-0.0023,0.0086,-0.1907,0.1324
228_ATAC,0.0701,0.1779,0.0176,0.0789,0.0402,0.1381,-0.0172,-0.0878
229_ATAC,0.4143,-0.0043,-0.0369,0.0166,-0.1491,0.1322,0.0023,0.1504
230_ATAC,0.0685,-0.0681,-0.2779,-0.1915,0.0037,-0.0748,-0.1211,-0.1079
231_ATAC,-0.0725,0.2139,0.0565,0.027,0.2128,0.1178,0.027,-0.098
232_ATAC,0.3095,0.1454,0.0577,-0.044,-0.0109,0.24,0.2028,0.0258
233_ATAC,0.0279,-0.7693,0.4916,0.073,0.0775,0.0236,-0.0296,0.3979
234_ATAC,0.2208,-0.6166,0.2292,0.2731,0.1251,0.2498,0.021,-0.057
235_ATAC,-0.2836,-0.0507,-0.1202,0.271,-0.1725,0.237,-0.2313,-0.387
236_ATAC,0.1914,0.3242,-0.1257,0.1149,0.0824,0.1428,-0.3988,0.0772
237_ATAC,0.0137,-0.5341,-0.4275,0.2401,0.157,-0.3744,-0.6825,-0.1141
238_ATAC,0.1194,-0.2094,-0.012,-0.1313,0.2474,-0.0892,-0.0026,-0.1404
239_ATAC,-0.126,0.0056,0.1539,0.1199,-0.3509,0.2118,0.1775,-0.2479
240_ATAC,-0.2625,-0.2368,0.1041,0.1117,0.243,-0.1652,0.2178,0.344
241_ATAC,-0.0814,0.1685,-0.0014,0.0115,0.0287,-0.007,-0.0157,-0.1706
242_ATAC,0.0265,0.2748,-0.2493,0.3755,-0.1373,-0.0033,-0.1134,0.2251
243_ATAC,-0.0446,0.1084,0.0735,0.1198,0.1739,0.1382,-0.0435,-0.1009
244_ATAC,0.2841,0.048,0.188,0.307,0.3434,0.0995,-0.0613,-0.0013
245_ATAC,-0.0734,0.2082,0.0089,-0.0022,0.0124,0.0071,0.0193,-0.1233
246_ATAC,0.0615,-0.3103,-0.1262,-0.2492,0.1129,0.1065,-0.2798,-0.2517
247_ATAC,-0.0278,-0.3745,0.2659,-0.1172,-0.0603,0.14,0.3435,-0.1296
248_ATAC,-0.0802,-0.0191,0.2681,0.2194,-0.324,0.1255,0.1649,-0.1127
249_ATAC,0.1392,0.152,-0.2329,0.2295,-0.1209,-0.0734,-0.1058,-0.2642
250_ATAC,0.2359,-0.4606,0.0096,0.0781,0.1716,-0.3514,-0.1986,-0.1921
251_ATAC,0.0522,0.2915,-0.2992,0.3725,-0.025,0.1798,0.0685,0.0669
252_ATAC,0.3764,0.217,0.0879,-0.0906,0.0535,0.1864,0.1868,-0.0287
253_ATAC,0.1021,0.2022,0.076,-0.067,-0.1674,0.1971,-0.0282,0.3163
254_ATAC,0.0998,0.1276,0.1889,-0.0298,0.1993,-0.1375,-0.1011,0.0289
255_ATAC,0.15,0.0512,0.029,-0.0392,0.0532,-0.0182,0.0342,-0.1223
256_ATAC,-0.0217,-0.2139,-0.0873,-0.0768,-0.5275,0.5234,0.0266,-0.6988
257_ATAC,0.0851,0.0233,0.1435,-0.1053,-0.0331,0.0351,-0.0786,-0.094
258_ATAC,-0.1648,0.0679,0.1357,0.1348,-0.3235,-0.0015,0.0276,-0.1629
259_ATAC,0.0711,-0.4375,-0.0231,-0.0091,0.0992,-0.0024,0.2109,-0.3025
260_ATAC,0.3727,0.0081,-0.0024,-0.0318,-0.2827,0.221,-0.0104,-0.0214
261_ATAC,0.1723,-0.2652,0.0443,0.0729,0.2092,-0.2608,0.1737,-0.1979
262_ATAC,0.1178,0.1019,0.0606,-0.0293,-0.2032,0.2585,-0.1641,0.1313
263_ATAC,0.3735,0.0565,-0.1414,-0.083,-0.4153,0.1127,-0.0437,0.004
264_ATAC,-0.0364,-0.1485,-0.2051,-0.1473,0.1959,0.0412,0.1782,-0.0299
265_ATAC,0.3546,-0.3605,0.2287,0.1822,0.1648,-0.2765,-0.0566,-0.0224
266_ATAC,0.2005,-0.4999,-0.3921,-0.4444,0.3094,-0.4541,0.1594,-0.162
267_ATAC,0.6935,0.0545,0.1087,0.2096,-0.0479,0.3934,0.3457,0.1855
268_ATAC,0.2995,0.1467,-0.0015,-0.0411,-0.037,0.0275,0.1269,-0.0929
269_ATAC,0.4036,0.1758,0.0645,-0.0409,0.1567,0.0401,0.1285,-0.0819
270_ATAC,0.3314,-0.6301,0.0122,0.2721,0.2653,0.2402,-0.1642,0.2105
271_ATAC,0.3173,-0.4939,-0.0876,0.0075,0.2402,0.1637,-0.0226,0.0805
272_ATAC,-0.0124,0.1422,0.0988,0.1726,0.2957,0.1696,-0.0165,-0.0915
273_ATAC,0.0361,0.2738,-0.3467,0.3387,-0.1363,0.1032,0.0357,0.0419
274_ATAC,0.0383,0.3374,-0.1435,-0.0056,-0.044,0.1028,-0.1372,-0.01
275_ATAC,0.0031,0.3279,-0.3364,0.3034,-0.0719,0.198,0.0973,0.2325
276_ATAC,0.2932,-0.2471,0.1259,0.123,0.0858,-0.2307,-0.0595,0.16
277_ATAC,0.0118,0.3248,-0.2456,0.1743,0.0141,0.1499,-0.1643,0.1015
278_ATAC,0.0314,0.3128,-0.2871,0.2331,-0.1044,0.103,-0.08,0.0921
279_ATAC,-0.0162,0.112,0.1556,0.0732,0.1765,0.0308,-0.0904,0.0139
