,0,1,2,3,4,5,6,7
123_RNA,-0.7914,-0.3424,-0.0894,0.2973,0.3764,0.6801,0.5322,0.6432
124_RNA,0.8289,0.1673,-0.0736,0.0391,0.0564,-0.3364,-0.3148,-0.1813
125_RNA,-0.6321,-0.6218,0.2667,-0.2087,0.4419,0.8479,0.8068,0.4324
126_RNA,0.6163,0.3235,-0.0774,0.2006,0.0409,-0.2638,-0.2751,-0.1314
127_RNA,0.5399,0.177,0.0785,0.2047,-0.0019,-0.1874,-0.2029,-0.2139
128_RNA,0.5478,-0.2042,0.3493,-0.399,-0.2244,-0.4827,0.1668,-0.4005
129_RNA,-0.6355,-0.4542,0.0694,-0.2921,0.0212,0.6902,0.2571,0.605
130_RNA,-0.7506,-0.3585,0.2105,0.163,0.1568,0.6676,0.2825,0.5115
131_RNA,-0.6883,-0.3329,0.1436,-0.0237,0.0855,0.7985,0.648,0.4637
132_RNA,0.5359,0.0861,-0.344,-0.84,-0.0957,0.7521,-1.047,0.4713
133_RNA,-0.4483,-0.138,0.041,-0.2011,0.1352,0.9046,0.3425,0.3184
134_RNA,0.2958,-0.066,0.3362,-0.3931,0.0007,-0.2113,0.0616,-0.1345
135_RNA,-0.3754,-0.33,0.3894,0.2688,-0.2319,-0.1303,-0.7301,0.6332
136_RNA,0.3921,0.4137,-0.0268,0.2273,0.1656,-0.4021,-0.4689,-0.1622
137_RNA,0.4256,0.1948,0.1279,0.128,0.0916,-0.2029,-0.2333,-0.2097
138_RNA,-0.0884,-0.0144,-0.0277,0.019,0.1169,0.0819,0.2407,0.3057
139_RNA,-0.194,-0.3963,-0.1655,-0.4496,-0.3636,1.1228,0.4527,0.1581
140_RNA,-0.0414,-0.2693,0.5176,0.787,-1.0808,0.4052,-0.5581,0.6888
141_RNA,0.4295,0.3932,-0.0739,0.4005,0.1422,-0.4114,-0.2356,-0.2195
142_RNA,-0.8421,-0.4699,0.5238,-0.0858,0.1649,0.9102,0.9569,0.3783
143_RNA,-0.3432,-0.4219,-0.0147,-0.2961,-0.1152,0.5194,0.3197,0.4987
144_RNA,-0.6346,0.0134,0.3107,0.0947,0.2049,0.9999,0.7758,0.369
145_RNA,0.4523,0.4675,0.2942,-0.1951,-0.2617,-0.7705,-0.9999,-0.3423
146_RNA,0.4473,0.3318,0.0313,0.0566,0.0563,-0.5189,-0.4797,-0.0505
147_RNA,-0.1391,-0.1722,-0.2117,-0.3219,-0.2612,0.6803,0.3512,0.0425
148_RNA,-0.4124,-0.5262,-0.122,-0.509,0.0481,1.0322,0.3859,0.4649
149_RNA,0.5967,0.1205,-0.2531,0.1481,0.2649,-0.6555,-0.33,-0.4591
150_RNA,0.3162,0.1504,0.042,0.0549,-0.0045,-0.3504,-0.3006,-0.063
151_RNA,-0.7215,-0.4058,0.1623,0.0504,0.1278,0.5684,0.4469,0.4994
152_RNA,0.5928,0.1899,0.0266,0.1511,0.0072,-0.2237,-0.1653,-0.1848
153_RNA,-0.1578,-0.3619,0.7427,0.1063,-0.2806,0.1129,-0.6191,0.7811
154_RNA,0.3002,-0.029,0.0037,0.1503,-0.2049,-0.5741,-0.379,-0.166
155_RNA,0.4861,0.3134,-0.0931,0.1235,0.1972,-0.4622,-0.5578,-0.1052
156_RNA,0.707,0.2841,0.279,0.5591,-0.2122,-0.3658,-0.2641,-0.5806
157_RNA,-0.7027,-0.4942,0.2413,0.0912,0.3679,0.647,0.4283,0.5368
158_RNA,0.4401,0.3208,0.0321,0.3239,-0.0062,-0.202,-0.1719,-0.2441
159_RNA,0.1022,-0.5347,0.2875,0.1652,-0.2125,-0.4258,-0.0089,-0.6271
160_RNA,-0.5982,-0.4077,0.248,-0.0432,0.2177,0.5804,0.4504,0.4778
161_RNA,-0.4567,-0.4153,0.0726,-0.0935,0.3513,0.4277,0.1118,0.529
162_RNA,0.4976,0.0886,-0.326,-0.3259,-0.0033,0.7583,-1.0319,0.8642
163_RNA,0.6053,-0.15,0.5468,-0.2714,-0.2555,-0.5906,-0.0672,-0.5974
164_RNA,-0.1516,-0.4966,-0.1952,-0.2737,-0.2277,1.0004,0.1633,-0.0732
165_RNA,0.6511,-0.0094,-0.0376,0.0421,0.1062,-0.4372,-0.1954,-0.2329
166_RNA,0.4788,-0.4807,0.1379,-0.0254,-0.6328,-0.6995,0.0879,-0.4093
167_RNA,1.1134,0.2012,0.0982,0.1675,-0.0457,-0.6566,-0.4595,-0.615
168_RNA,0.0005,-0.1306,0.0114,-0.1926,-0.005,0.5103,0.253,0.3885
169_RNA,0.3092,-0.2247,0.2645,-0.2282,-0.1286,-0.3317,0.1886,-0.0905
170_RNA,-0.8632,-0.202,0.2754,-0.1584,0.0641,0.2944,0.301,0.6404
171_RNA,0.5956,0.1425,0.032,-0.1522,-0.1026,-0.5569,-0.3022,-0.6222
172_RNA,-0.3666,-0.618,0.1351,0.0055,-0.1257,0.2941,-0.1915,0.7085
173_RNA,0.4188,0.4021,0.0028,0.2342,0.0311,-0.4815,-0.3505,-0.1754
174_RNA,-0.8582,-0.3652,-0.0849,0.0206,0.2735,0.884,0.645,0.5927
175_RNA,0.6303,-0.0375,-0.1498,0.0515,0.1444,-0.6372,-0.5737,-0.229
176_RNA,0.634,0.2798,0.1069,0.2068,0.0474,-0.135,-0.2465,-0.1048
177_RNA,0.6149,0.2211,0.5461,0.4337,-0.1904,-0.2621,-0.4902,-0.4411
178_RNA,0.5957,0.0936,0.0215,0.1395,0.0257,-0.2852,-0.1578,-0.2535
179_RNA,0.683,0.1162,0.1247,0.3223,-0.1516,-0.3913,-0.2113,-0.5713
180_RNA,-0.4513,-0.421,0.0155,-0.349,-0.0076,0.8151,0.4367,0.4848
181_RNA,0.0798,-0.5111,0.2014,0.1007,-0.2098,-0.3666,-0.0763,-0.5259
182_RNA,0.282,0.1884,0.1327,0.2342,0.0331,-0.422,-0.5832,-0.2202
183_RNA,0.7368,0.4181,0.2808,0.6019,-0.0981,-0.4264,-0.3331,-0.5093
184_RNA,0.8209,0.3952,0.1056,0.4514,0.0181,-0.5877,-0.6558,-0.4696
185_RNA,-0.7429,-0.3234,0.1879,0.0297,0.3154,0.7525,0.5747,0.4678
186_RNA,0.3703,-0.1274,0.4194,-0.4699,0.027,-0.2387,0.0342,-0.277
187_RNA,0.3984,0.433,0.0383,-0.062,-0.183,-0.5289,-0.132,0.0108
188_RNA,0.4564,0.4324,0.2489,-0.0607,-0.0139,-0.6605,-0.301,0.0253
189_RNA,0.7379,0.5621,0.0684,0.4369,-0.278,-0.8564,-0.4897,-0.6277
190_RNA,0.4395,-0.3089,0.2564,-0.2974,-0.1794,-0.441,0.0117,-0.3531
191_RNA,0.3159,0.3511,0.4639,0.3379,0.049,-0.6385,-0.5763,-0.3261
192_RNA,0.0238,-0.2351,0.5773,0.5493,-0.6911,0.2459,-0.2897,0.865
193_RNA,0.5585,0.1783,0.4258,0.0713,-0.0889,-0.4523,-0.0441,-0.1317
194_RNA,-0.5384,-0.3682,0.7574,0.0562,-0.3164,-0.0526,-1.049,0.7795
195_RNA,0.6146,-0.3275,0.2973,-0.5692,-0.1254,-0.1996,-0.0461,-0.2224
196_RNA,-0.4395,-0.2863,0.3757,0.2433,0.2366,0.4872,0.5422,0.4097
197_RNA,0.6557,0.1182,0.119,-0.0852,-0.2859,-0.868,0.0296,-0.1016
198_RNA,-0.3773,-0.0424,0.3712,-0.6166,-0.4983,0.4694,0.0816,0.7807
199_RNA,-0.4323,-0.4479,0.0682,-0.3426,0.1073,0.548,0.2013,0.4157
200_RNA,-0.8352,-0.339,0.4597,-0.2711,0.0922,0.638,0.6531,0.5427
201_RNA,-0.4356,-0.5235,0.0675,-0.0574,0.3319,0.4783,0.2951,0.4767
202_RNA,0.5196,0.1791,0.0157,0.0863,0.1361,-0.1902,-0.2698,-0.164
203_RNA,0.7842,0.2528,0.1756,0.4027,-0.1337,-0.321,-0.3544,-0.343
204_RNA,-0.4881,-0.3109,0.26,0.3828,-0.2193,-0.0119,-1.1042,0.5608
205_RNA,0.3134,0.2699,0.1878,0.3529,0.1509,-0.4898,-0.9527,-0.2073
