,LSI_1,LSI_2,LSI_3,LSI_4,LSI_5,LSI_6,LSI_7,LSI_8,LSI_9,LSI_10,LSI_11,LSI_12,LSI_13,LSI_14,LSI_15,LSI_16,LSI_17,LSI_18,LSI_19,LSI_20,LSI_21,LSI_22,LSI_23,LSI_24,LSI_25,LSI_26,LSI_27,LSI_28,LSI_29,LSI_30,LSI_31,LSI_32,LSI_33,LSI_34,LSI_35,LSI_36,LSI_37,LSI_38,LSI_39,LSI_40,LSI_41,LSI_42,LSI_43,LSI_44,LSI_45,LSI_46,LSI_47,LSI_48,LSI_49,LSI_50
45_ATAC,1.965595938,-1.468018759,0.426254739,-0.004512347,2.07328418,0.931858502,-1.034103532,-5.046755089,-3.067494155,0.51199873,0.161749469,0.911837049,0.667640507,0.639238906,2.151674263,3.714670004,0.243250678,-0.085275788,-1.409540103,0.466290772,-0.027314505,-1.645249654,-2.597812309,0.201657746,-0.342676848,0.937004434,-3.25596289,-1.379348628,1.418666087,-0.131681417,0.695069849,1.450630889,-1.4737778,0.880056021,1.790657265,-2.523831881,1.85198916,-0.648929991,-0.232156378,-1.098582541,-1.905288718,-0.571979803,-2.383610522,-2.730863018,-3.103409199,0.219560193,1.390250779,0.537473849,-0.522310542,0.703595251
46_ATAC,-0.821051486,0.816731264,-0.422969134,0.788812341,0.199756554,-0.914352043,-0.410111344,-0.215722223,0.246626483,-1.569736992,0.689738755,0.320774995,0.325291739,0.059012371,1.026032794,-0.25217763,1.214922629,-0.195988424,-0.058689556,-2.130415281,0.73119512,0.124101275,-0.448184771,-1.663455547,-0.400767317,-0.526311324,-0.899525188,0.06638186,-0.064785195,0.278963193,-0.187071929,-0.322488952,-0.461979024,-0.60994268,0.467427142,-0.164439026,-0.134651913,0.568657008,0.015323192,0.467242763,-0.680097261,0.144124711,0.072244551,0.252992681,0.209644584,0.634519327,-0.005765111,-0.066348578,0.172048307,0.083443768
47_ATAC,0.935768719,0.544258045,2.071874068,-0.323499663,-0.627444514,1.42963169,0.460474117,-0.826126241,1.637268889,-1.113140628,-1.11112119,0.124089608,0.230372581,-0.882778161,0.538597577,-1.690799031,1.304716451,-0.601933416,-2.368754769,-0.272549493,0.8746583,0.701108869,1.953745649,-0.447123958,2.987059552,0.475356464,-0.266047138,-1.461828986,-0.425884725,0.523239137,0.467310844,-0.048065611,0.566655516,0.842886917,-0.110548008,-1.18944524,0.071646713,1.793149484,0.7465998,-0.590980569,-1.301863383,-0.043829824,0.92120914,1.234870453,-0.855681221,1.371592462,-0.04029744,0.733297316,0.475804582,-0.872633511
48_ATAC,0.862795908,-1.522039938,-0.479606063,0.115585701,-0.343573258,-0.226975194,1.012451892,0.152915669,-0.350359233,-0.229454632,0.066763882,0.019286573,0.577774361,0.083909212,-0.390405062,-0.690405314,-0.886779012,0.670548771,0.126962902,0.144081504,0.591334716,-0.69642009,-0.344471498,-0.680431886,0.024195447,-1.388816141,-0.213463397,1.192458191,0.291859507,0.159979685,3.097739535,-1.288678375,-0.789353528,0.401511079,-1.677190915,1.751409271,0.310900275,-1.112193099,0.360602456,-0.52918383,1.597138049,0.998166194,1.151256928,-1.974361316,-0.383609055,0.233611662,-0.26668196,2.37215553,0.80829895,-0.295846124
49_ATAC,-0.871470273,0.753230008,-0.391886667,-0.354563601,-0.521720026,2.205890616,0.476138446,-0.169578804,0.041170275,-0.531863395,1.040889417,-1.50025834,-0.050183822,1.043431438,-0.3152268,0.897356956,0.357852663,0.128712881,-1.442582322,-0.685044845,0.520509004,1.357853092,-0.42405508,0.836721528,-0.038373235,-0.757124436,-0.095872031,0.323584248,-0.921606045,-0.026281946,0.003013434,-0.440169587,0.491925824,-0.172275718,0.415850609,-0.33264912,0.064080088,0.500631041,0.265992292,0.230983793,-0.090685078,-0.00056068,0.075990622,-0.296479694,0.344204579,0.028437005,-0.374693434,0.305026971,0.106456752,0.175551725
50_ATAC,-0.895362308,0.745678854,-0.375799492,0.755342958,0.086058825,-0.038807901,-0.306402278,0.139454042,-0.345050234,-0.067013316,-1.705815436,-0.282467025,0.042722557,-0.440780321,0.284123389,0.018795599,1.839131899,1.203960724,0.10947522,0.431608306,0.261548798,-0.816104961,0.899465279,0.305828893,1.022703887,-0.163577053,0.246679176,0.350863325,0.833113913,-0.103704746,-0.743263403,-0.434646092,-0.536186359,0.719575225,-0.030455802,-0.78871423,-0.318857197,-0.999107394,0.307315303,-0.10395148,-0.157665286,0.268361143,0.674609807,-0.326927325,0.050495873,0.47659768,0.501339476,0.774486417,-0.319256399,0.379720432
51_ATAC,-0.207380234,0.602820011,-0.130077484,-2.798839099,0.360507075,-1.682860962,-0.478847354,-0.039722449,-0.177342361,1.66395084,-0.983528563,-1.735071951,-0.310926447,2.074795897,0.434188821,0.262332503,-1.235181538,-1.049372424,0.578489716,-0.976075147,-0.076347714,0.323143038,0.077534273,0.442647837,-0.28271797,0.044989117,-0.452789619,0.443872486,-0.495390824,0.009336001,-0.002205158,-0.616942246,0.578167672,0.028528486,0.466005705,0.224653365,-0.185985965,0.319163589,-0.033993205,-0.037765648,-0.052045818,0.077707862,-0.074951423,-0.1924901,0.176807791,0.48133939,0.218154602,0.02024108,-0.134137406,0.735351039
52_ATAC,1.021823626,-0.707564507,1.923953875,0.128018016,-1.01766153,-0.401534369,0.325538242,-0.069432729,0.827303433,-0.600871515,-0.253467394,0.847307243,-2.054557053,0.126679142,-0.076680333,0.517452922,-0.194687528,0.136440886,-0.239266491,0.729589713,-2.888127294,0.541061719,-1.770617943,-0.090936256,-0.179569855,-2.027577866,0.875879372,-3.108456378,1.451275316,2.334381185,0.061504162,-0.78652169,-0.553773139,1.977715774,0.212063488,-1.999169273,-0.500748752,-1.132990446,-0.856715828,1.054146152,0.976349431,-0.831865168,-1.355415953,-0.215813724,-0.772165485,0.746453326,-0.448937169,-2.484054431,0.277966211,-0.522681232
53_ATAC,-1.706907598,0.654379901,-0.326509002,0.649708444,0.034052337,-0.776054416,-0.184568878,0.438790672,-0.801619393,-0.282411887,1.222169578,0.46887637,0.019699462,0.74153742,0.897101582,0.183234738,-0.063500198,-0.079636171,0.234555641,0.106687515,0.350619512,0.63028593,-0.242410571,0.29559879,-0.128159432,-0.510109723,0.20951324,0.768636902,-0.275549829,0.014937162,0.327172274,-0.250103539,0.003698338,-0.127528157,0.050556365,0.249983957,-0.138771757,0.052416767,-0.416710063,-0.022224427,-0.066658937,0.039194312,-0.454864434,0.176976407,0.185077653,-0.050470104,0.089434727,-0.113243153,-0.345273483,0.19455735
54_ATAC,-0.039058307,0.909971841,-0.441592005,1.132166776,0.494260191,-1.211241802,-0.2897606,-0.478112669,0.677469828,-0.713643745,1.318060097,0.269089274,0.068270175,0.500868435,-0.297097933,-0.03713007,-0.254299665,-0.886909599,-0.339610727,0.955870829,0.260467039,0.574255523,0.595023387,0.185646572,-0.377380457,0.815906492,0.638445068,-0.294447241,0.130643551,-0.024351732,0.27498646,-0.251385521,-0.274993654,-0.187197295,0.056430256,0.446882695,-0.707621525,0.2545803,0.350442164,0.115973665,0.25919768,0.356763383,-0.147726923,0.292690295,0.10812247,0.146240224,-0.050855183,-0.414205336,0.155529637,-0.264565691
55_ATAC,0.515449494,-1.394145911,0.061658468,0.166059127,0.728728616,1.086376538,-3.648502251,0.45560956,0.247036227,0.643985148,0.803056682,-0.010629818,0.503727762,0.079901602,-0.622084061,-0.433863795,-0.144954992,0.28241654,-0.524121453,-0.088428613,-0.662826683,0.756783745,0.963418063,-1.011696923,1.576732696,-1.532778469,-0.307691934,0.963340266,2.005485099,0.503061595,-1.839755709,-0.018030763,0.171177392,-0.433782482,-0.11092638,0.93971296,-0.554675956,-0.004468603,1.436118837,-1.753247499,1.927018647,2.574281215,-1.437991877,0.642985861,1.697371669,0.342182045,-1.188058519,4.298669652,0.782522206,-2.604759623
56_ATAC,1.362125079,-1.774254567,-0.617672239,0.11558266,-0.913044684,-0.858075422,2.26031234,1.042860476,0.998178695,-1.072482959,-0.50131923,-0.427074446,-0.648307938,-0.469717049,1.70262434,3.288922075,-0.582523639,-1.966228018,-1.150095637,1.134972715,-1.531492203,-0.575751832,1.379136678,-1.442957458,0.887856249,-1.197842027,-0.617806974,1.564468326,-0.043536856,0.165048188,-0.578997514,0.029933553,-0.514607317,-1.770915007,0.882217456,-0.236821902,0.683030057,0.426373222,1.734724104,0.502963157,-0.299641917,-0.193436054,-0.870359052,0.455430415,0.532047549,-0.237907114,1.501335891,-1.286632471,-0.901670875,-0.070761624
57_ATAC,-0.336566781,0.82444442,-0.424562766,1.036825354,-0.063229034,-0.521410059,-0.193023249,0.47872295,-0.875933824,0.607156421,-1.267167831,0.333118954,0.115910893,-0.448982645,-0.504089303,0.59574932,-0.056132563,1.148749972,0.23864322,0.519532013,-0.176957538,-0.056544084,0.118415497,0.268904415,0.245738955,-0.371280298,-0.053872632,0.313715485,-0.222443105,-0.315214564,0.074445953,0.251812882,-0.015254982,0.048985584,-0.258843195,-0.507087545,0.138003555,0.096013887,0.170707961,-0.034551029,0.037989943,0.011957397,0.258638251,0.109431041,0.060130917,0.254704734,-0.32800283,0.081880713,-0.55679014,0.11125676
58_ATAC,-0.786946853,0.730616011,-0.303725232,0.549870122,-0.421667532,0.229527039,-0.087765815,0.861442459,-1.27961248,1.202933572,-0.834963301,0.701656906,0.23412118,-0.10144567,0.390772621,0.271631175,-0.298638605,-0.413110645,1.855642575,0.128684757,0.313218635,-0.651057026,-0.417207923,-0.001935722,-0.555986201,-0.561703926,0.258119752,-0.185928181,-0.428414727,-0.292494676,0.568192726,-1.011760222,-0.001416837,0.006042726,0.735394299,-0.448195844,-0.322194202,0.675676005,0.1123236,-0.114386687,-0.125709711,0.136044718,0.221691298,0.41207249,-0.144841124,-0.009416417,0.013363781,0.233684504,0.023584236,0.147448321
59_ATAC,-1.339724544,0.644098393,-0.229939494,0.076010584,-0.570109883,1.214387416,0.262435615,0.720787719,-0.876774284,0.827354278,-0.477265748,0.45671991,0.028192448,0.086609986,1.587088776,-0.429271407,0.669293339,-0.588134959,1.323957472,1.473571934,0.111002342,-0.488284961,-0.529220179,-0.42011313,0.287695692,-0.034457311,0.178896361,-0.589491132,0.412638844,-0.001577673,-0.332486717,0.262600765,-0.140996212,-0.13854433,0.307694305,0.828793664,0.18401912,-0.33656659,-0.143069969,0.39248641,-0.203238668,0.199679046,-0.115800077,-0.073690129,-0.019802218,-0.273622262,0.332227285,-0.027228333,-0.000181236,0.34509164
60_ATAC,-1.915069034,-0.796563924,-0.294148947,-0.063688622,-0.63062308,-0.263938196,0.7480033,0.680133419,-1.477082925,-0.233577716,0.18023112,0.017244541,0.388954435,0.810867411,0.936394775,0.20412692,0.636268457,1.157162606,-0.417245201,-0.72824541,-0.526508429,0.718750577,0.689936518,-0.10098435,-0.572738601,0.627066202,-0.00155921,-0.426726492,0.213467003,-0.206604839,0.537512799,0.765370818,-1.115129895,-0.15039686,-0.327481225,-0.338373642,0.3385849,0.000245128,0.689023489,0.062895918,0.104502592,-0.196628584,0.38482767,0.235597862,0.057093531,-0.24719536,1.14031174,0.019790945,-1.367910548,0.337359847
61_ATAC,-1.821011631,0.648266532,-0.301894176,0.725688195,0.187463778,-0.924610257,-0.274966612,0.520201156,-0.69035705,-0.85573035,0.322652472,0.378021454,0.011134151,0.092456173,0.455789368,0.173366876,1.760337433,0.75830526,-0.357835051,0.084132487,0.302135001,0.032072654,-0.00755003,0.958160695,0.824345533,-0.963675152,-0.590633146,0.556452366,-0.581408309,0.427264491,-0.142152852,0.111208361,0.646828936,-0.289582901,-0.075341077,0.115903138,0.210023499,0.138922903,-0.130306041,0.106884203,-0.400625285,-0.393862684,-0.472554671,0.127093843,0.063058142,-0.239098576,-0.0131191,-0.457876477,0.058816088,-0.358829436
62_ATAC,2.146832663,-0.362959611,-0.424526744,0.912546102,0.715515879,-0.632955786,-0.934078249,-0.721703752,1.529019518,-1.035432182,0.17603653,0.121793096,-1.003560443,-1.012084611,-0.96935765,-1.283815439,0.844302884,-0.336255071,1.533334635,-2.083766528,0.359730242,0.963942962,0.059590871,-0.730559497,0.251638149,-0.979310403,-0.36639213,1.241619949,-0.142630891,-0.379815981,0.829792122,0.33271035,-1.31157946,-0.424435633,-0.343603446,0.348098862,1.035748375,1.839029149,0.991173582,-1.443593934,-1.111894709,-0.415184672,1.179047952,0.388624377,1.536527466,0.126827574,-0.41463419,1.24698181,0.038926211,-0.557456134
